table_name,time_predic,activeIKWH
ConsDomestic,2024-03-05 02:00:00,2.32
ConsDomestic,2024-03-05 02:30:00,2.33
ConsDomestic,2024-03-05 03:00:00,2.33
ConsDomestic,2024-03-05 03:30:00,2.32
ConsDomestic,2024-03-05 04:00:00,2.29
ConsDomestic,2024-03-05 04:30:00,2.3
ConsDomestic,2024-03-05 05:00:00,2.32
ConsDomestic,2024-03-05 05:30:00,2.37
ConsDomestic,2024-03-05 06:00:00,2.31
ConsDomestic,2024-03-05 06:30:00,2.09
ConsDomestic,2024-03-05 07:00:00,1.67
ConsDomestic,2024-03-05 07:30:00,1.53
ConsDomestic,2024-03-05 08:00:00,1.27
ConsDomestic,2024-03-05 08:30:00,0.42
ConsDomestic,2024-03-05 09:00:00,0.44
ConsDomestic,2024-03-05 09:30:00,0.39
ConsDomestic,2024-03-05 10:00:00,0.17
ConsDomestic,2024-03-05 10:30:00,0.13
ConsDomestic,2024-03-05 11:00:00,0.16
ConsDomestic,2024-03-05 11:30:00,0.17
ConsDomestic,2024-03-05 12:00:00,0.27
ConsDomestic,2024-03-05 12:30:00,0.43
ConsDomestic,2024-03-05 13:00:00,0.25
ConsDomestic,2024-03-05 13:30:00,0.22
ConsDomestic,2024-03-05 14:00:00,0.26
ConsDomestic,2024-03-05 14:30:00,0.12
ConsDomestic,2024-03-05 15:00:00,0.2
ConsDomestic,2024-03-05 15:30:00,0.4
ConsDomestic,2024-03-05 16:00:00,0.98
ConsDomestic,2024-03-05 16:30:00,1.3
ConsDomestic,2024-03-05 17:00:00,0.2
ConsDomestic,2024-03-05 17:30:00,0.21
ConsDomestic,2024-03-05 18:00:00,0.21
ConsDomestic,2024-03-05 18:30:00,0.21
ConsDomestic,2024-03-05 19:00:00,0.2
ConsDomestic,2024-03-05 19:30:00,0.21
ConsDomestic,2024-03-05 20:00:00,0.21
ConsDomestic,2024-03-05 20:30:00,0.21
ConsDomestic,2024-03-05 21:00:00,0.22
ConsDomestic,2024-03-05 21:30:00,0.21
ConsDomestic,2024-03-05 22:00:00,1.09
ConsDomestic,2024-03-05 22:30:00,2.24
ConsDomestic,2024-03-05 23:00:00,2.46
ConsDomestic,2024-03-05 23:30:00,2.45
ConsDomestic,2024-03-06 00:00:00,2.43
ConsDomestic,2024-03-06 00:30:00,2.41
ConsDomestic,2024-03-06 01:00:00,2.37
ConsDomestic,2024-03-06 01:30:00,2.35
ConsDomestic,2024-03-06 02:00:00,3.52
ConsDomestic,2024-03-06 02:30:00,2.34
ConsDomestic,2024-03-06 03:00:00,2.36
ConsDomestic,2024-03-06 03:30:00,2.34
ConsDomestic,2024-03-06 04:00:00,2.34
ConsDomestic,2024-03-06 04:30:00,2.34
ConsDomestic,2024-03-06 05:00:00,2.37
ConsDomestic,2024-03-06 05:30:00,2.46
ConsDomestic,2024-03-06 06:00:00,2.54
ConsDomestic,2024-03-06 06:30:00,2.35
ConsDomestic,2024-03-06 07:00:00,1.74
ConsDomestic,2024-03-06 07:30:00,1.12
ConsDomestic,2024-03-06 08:00:00,0.66
ConsDomestic,2024-03-06 08:30:00,0.46
ConsDomestic,2024-03-06 09:00:00,0.33
ConsDomestic,2024-03-06 09:30:00,0.3
ConsDomestic,2024-03-06 10:00:00,0.25
ConsDomestic,2024-03-06 10:30:00,0.28
ConsDomestic,2024-03-06 11:00:00,0.26
ConsDomestic,2024-03-06 11:30:00,0.26
ConsDomestic,2024-03-06 12:00:00,0.23
ConsDomestic,2024-03-06 12:30:00,0.13
ConsDomestic,2024-03-06 13:00:00,0.13
ConsDomestic,2024-03-06 13:30:00,0.13
ConsDomestic,2024-03-06 14:00:00,0.16
ConsDomestic,2024-03-06 14:30:00,0.25
ConsDomestic,2024-03-06 15:00:00,0.2
ConsDomestic,2024-03-06 15:30:00,0.48
ConsDomestic,2024-03-06 16:00:00,1.01
ConsDomestic,2024-03-06 16:30:00,1.71
ConsDomestic,2024-03-06 17:00:00,1.66
ConsDomestic,2024-03-06 17:30:00,1.73
ConsDomestic,2024-03-06 18:00:00,1.72
ConsDomestic,2024-03-06 18:30:00,1.72
ConsDomestic,2024-03-06 19:00:00,1.72
ConsDomestic,2024-03-06 19:30:00,1.72
ConsDomestic,2024-03-06 20:00:00,1.72
ConsDomestic,2024-03-06 20:30:00,1.72
ConsDomestic,2024-03-06 21:00:00,1.71
ConsDomestic,2024-03-06 21:30:00,1.72
ConsDomestic,2024-03-06 22:00:00,2.46
ConsDomestic,2024-03-06 22:30:00,2.68
ConsDomestic,2024-03-06 23:00:00,2.73
ConsDomestic,2024-03-06 23:30:00,2.69
ConsGeneral,2024-03-05 02:00:00,0.17
ConsGeneral,2024-03-05 02:30:00,0.16
ConsGeneral,2024-03-05 03:00:00,0.17
ConsGeneral,2024-03-05 03:30:00,0.17
ConsGeneral,2024-03-05 04:00:00,0.18
ConsGeneral,2024-03-05 04:30:00,0.21
ConsGeneral,2024-03-05 05:00:00,0.2
ConsGeneral,2024-03-05 05:30:00,0.2
ConsGeneral,2024-03-05 06:00:00,0.19
ConsGeneral,2024-03-05 06:30:00,0.11
ConsGeneral,2024-03-05 07:00:00,0.04
ConsGeneral,2024-03-05 07:30:00,0.04
ConsGeneral,2024-03-05 08:00:00,0.03
ConsGeneral,2024-03-05 08:30:00,0.0
ConsGeneral,2024-03-05 09:00:00,0.0
ConsGeneral,2024-03-05 09:30:00,0.0
ConsGeneral,2024-03-05 10:00:00,0.0
ConsGeneral,2024-03-05 10:30:00,0.0
ConsGeneral,2024-03-05 11:00:00,0.0
ConsGeneral,2024-03-05 11:30:00,0.0
ConsGeneral,2024-03-05 12:00:00,0.0
ConsGeneral,2024-03-05 12:30:00,0.0
ConsGeneral,2024-03-05 13:00:00,0.0
ConsGeneral,2024-03-05 13:30:00,0.0
ConsGeneral,2024-03-05 14:00:00,0.0
ConsGeneral,2024-03-05 14:30:00,0.04
ConsGeneral,2024-03-05 15:00:00,0.08
ConsGeneral,2024-03-05 15:30:00,0.13
ConsGeneral,2024-03-05 16:00:00,0.27
ConsGeneral,2024-03-05 16:30:00,0.28
ConsGeneral,2024-03-05 17:00:00,0.0
ConsGeneral,2024-03-05 17:30:00,0.0
ConsGeneral,2024-03-05 18:00:00,0.0
ConsGeneral,2024-03-05 18:30:00,0.0
ConsGeneral,2024-03-05 19:00:00,0.0
ConsGeneral,2024-03-05 19:30:00,0.0
ConsGeneral,2024-03-05 20:00:00,0.07
ConsGeneral,2024-03-05 20:30:00,0.13
ConsGeneral,2024-03-05 21:00:00,0.13
ConsGeneral,2024-03-05 21:30:00,0.15
ConsGeneral,2024-03-05 22:00:00,0.26
ConsGeneral,2024-03-05 22:30:00,0.26
ConsGeneral,2024-03-05 23:00:00,0.24
ConsGeneral,2024-03-05 23:30:00,0.22
ConsGeneral,2024-03-06 00:00:00,0.21
ConsGeneral,2024-03-06 00:30:00,0.2
