table_name,time_predic,activeIKWH
Consdomestic,2024-02-27 00:00:00,0.01
Consdomestic,2024-02-27 00:30:00,0.01
Consdomestic,2024-02-27 01:00:00,0.01
Consdomestic,2024-02-27 01:30:00,0.01
Consdomestic,2024-02-27 02:00:00,0.01
Consdomestic,2024-02-27 02:30:00,0.01
Consdomestic,2024-02-27 03:00:00,0.01
Consdomestic,2024-02-27 03:30:00,0.0
Consdomestic,2024-02-27 04:00:00,0.01
Consdomestic,2024-02-27 04:30:00,0.01
Consdomestic,2024-02-27 05:00:00,0.0
Consdomestic,2024-02-27 05:30:00,0.01
Consdomestic,2024-02-27 06:00:00,0.01
Consdomestic,2024-02-27 06:30:00,0.01
Consdomestic,2024-02-27 07:00:00,0.01
Consdomestic,2024-02-27 07:30:00,0.01
Consdomestic,2024-02-27 08:00:00,0.01
Consdomestic,2024-02-27 08:30:00,0.01
Consdomestic,2024-02-27 09:00:00,0.01
Consdomestic,2024-02-27 09:30:00,0.01
Consdomestic,2024-02-27 10:00:00,0.01
Consdomestic,2024-02-27 10:30:00,0.01
Consdomestic,2024-02-27 11:00:00,0.01
Consdomestic,2024-02-27 11:30:00,0.01
Consdomestic,2024-02-27 12:00:00,0.01
Consdomestic,2024-02-27 12:30:00,0.01
Consdomestic,2024-02-27 13:00:00,0.01
Consdomestic,2024-02-27 13:30:00,0.01
Consdomestic,2024-02-27 14:00:00,0.01
Consdomestic,2024-02-27 14:30:00,0.01
Consdomestic,2024-02-27 15:00:00,0.01
Consdomestic,2024-02-27 15:30:00,0.01
Consdomestic,2024-02-27 16:00:00,0.0
Consdomestic,2024-02-27 16:30:00,0.0
Consdomestic,2024-02-27 17:00:00,0.0
Consdomestic,2024-02-27 17:30:00,0.0
Consdomestic,2024-02-27 18:00:00,0.01
Consdomestic,2024-02-27 18:30:00,0.01
Consdomestic,2024-02-27 19:00:00,0.0
Consdomestic,2024-02-27 19:30:00,0.01
Consdomestic,2024-02-27 20:00:00,0.0
Consdomestic,2024-02-27 20:30:00,0.0
Consdomestic,2024-02-27 21:00:00,0.0
Consdomestic,2024-02-27 21:30:00,0.0
Consdomestic,2024-02-27 22:00:00,0.0
Consdomestic,2024-02-27 22:30:00,0.0
Consdomestic,2024-02-27 23:00:00,0.0
Consdomestic,2024-02-27 23:30:00,0.0
Consdomestic,2024-02-28 00:00:00,0.0
Consdomestic,2024-02-28 00:30:00,0.0
Consdomestic,2024-02-28 01:00:00,0.0
Consdomestic,2024-02-28 01:30:00,0.0
Consdomestic,2024-02-28 02:00:00,0.01
Consdomestic,2024-02-28 02:30:00,0.0
Consdomestic,2024-02-28 03:00:00,0.0
Consdomestic,2024-02-28 03:30:00,0.0
Consdomestic,2024-02-28 04:00:00,0.0
Consdomestic,2024-02-28 04:30:00,0.0
Consdomestic,2024-02-28 05:00:00,0.0
Consdomestic,2024-02-28 05:30:00,0.01
Consdomestic,2024-02-28 06:00:00,0.04
Consdomestic,2024-02-28 06:30:00,0.73
Consdomestic,2024-02-28 07:00:00,1.14
Consdomestic,2024-02-28 07:30:00,0.93
Consdomestic,2024-02-28 08:00:00,0.52
Consdomestic,2024-02-28 08:30:00,0.17
Consdomestic,2024-02-28 09:00:00,0.16
Consdomestic,2024-02-28 09:30:00,0.21
Consdomestic,2024-02-28 10:00:00,0.22
Consdomestic,2024-02-28 10:30:00,0.22
Consdomestic,2024-02-28 11:00:00,0.22
Consdomestic,2024-02-28 11:30:00,0.17
Consdomestic,2024-02-28 12:00:00,0.23
Consdomestic,2024-02-28 12:30:00,0.22
Consdomestic,2024-02-28 13:00:00,0.13
Consdomestic,2024-02-28 13:30:00,0.12
Consdomestic,2024-02-28 14:00:00,0.12
Consdomestic,2024-02-28 14:30:00,0.12
Consdomestic,2024-02-28 15:00:00,0.42
Consdomestic,2024-02-28 15:30:00,0.59
Consdomestic,2024-02-28 16:00:00,0.98
Consdomestic,2024-02-28 16:30:00,1.38
Consdomestic,2024-02-28 17:00:00,1.63
Consdomestic,2024-02-28 17:30:00,1.61
Consdomestic,2024-02-28 18:00:00,1.58
Consdomestic,2024-02-28 18:30:00,1.6
Consdomestic,2024-02-28 19:00:00,1.59
Consdomestic,2024-02-28 19:30:00,1.57
Consdomestic,2024-02-28 20:00:00,1.58
Consdomestic,2024-02-28 20:30:00,1.58
Consdomestic,2024-02-28 21:00:00,1.65
Consdomestic,2024-02-28 21:30:00,1.68
Consdomestic,2024-02-28 22:00:00,1.75
Consdomestic,2024-02-28 22:30:00,1.72
Consdomestic,2024-02-28 23:00:00,1.69
Consdomestic,2024-02-28 23:30:00,1.65
Consgeneral,2024-02-27 00:00:00,0.28
Consgeneral,2024-02-27 00:30:00,0.26
Consgeneral,2024-02-27 01:00:00,0.26
Consgeneral,2024-02-27 01:30:00,0.25
Consgeneral,2024-02-27 02:00:00,0.37
Consgeneral,2024-02-27 02:30:00,0.24
Consgeneral,2024-02-27 03:00:00,0.25
Consgeneral,2024-02-27 03:30:00,0.25
Consgeneral,2024-02-27 04:00:00,0.26
Consgeneral,2024-02-27 04:30:00,0.27
